Player,Team,Attacking Impact ML,Defensive Impact ML,Misc Impact,Total Impact (ML)
James Justin,Leicester City,2.94,-4.29,0.72,-0.63
Jack Harrison,Everton,2.94,-2.37,-0.33,0.24
Omari Hutchinson,Ipswich Town,2.93,-5.08,-0.32,-2.47
Jakub Stolarczyk,Leicester City,2.92,-4.41,1.16,-0.33
Wilfred Ndidi,Leicester City,2.91,-2.61,-0.49,-0.19
Sam Morsy,Ipswich Town,2.86,-4.04,0.5,-0.68
Alex Palmer,Ipswich Town,2.81,-6.13,1.31,-2.01
Mason Mount,Manchester Utd,2.79,-3.07,-0.92,-1.2
Oliver Skipp,Leicester City,2.77,-5.66,-0.09,-2.98
Yukinari Sugawara,Southampton,2.77,-5.91,0.49,-2.65
Antonín Kinský,Tottenham,2.75,-5.39,1.52,-1.12
Joe Aribo,Southampton,2.66,-5.19,0.78,-1.75
Patson Daka,Leicester City,2.66,-4.22,-0.5,-2.06
Bilal El Khannouss,Leicester City,2.62,-4.37,-0.18,-1.93
Cameron Archer,Southampton,2.6,-5.82,-0.85,-4.07
Adam Armstrong,Southampton,2.59,-6.97,-0.53,-4.91
Mads Hermansen,Leicester City,2.58,-6.26,1.35,-2.33
Wes Burns,Ipswich Town,2.57,-5.12,-0.12,-2.67
Christian Walton,Ipswich Town,2.53,-6.99,1.38,-3.08
Conor Coady,Leicester City,2.53,-5.6,1.64,-1.43
Issa Diop,Fulham,2.49,-2.45,1.28,1.32
Jacob Greaves,Ipswich Town,2.48,-4.66,1.08,-1.1
Luke Woolfenden,Ipswich Town,2.42,-5.41,1.23,-1.76
Jan Bednarek,Southampton,2.4,-5.02,1.59,-1.03
Kalvin Phillips,Ipswich Town,2.39,-4.01,0.01,-1.61
William Smallbone,Southampton,2.36,-5.44,-0.21,-3.29
Jack Taylor,Ipswich Town,2.35,-4.13,-0.02,-1.8
Aaron Ramsdale,Southampton,2.34,-6.54,1.39,-2.81
Lesley Ugochukwu,Southampton,2.33,-4.45,0.01,-2.11
Boubakary Soumaré,Leicester City,2.3,-4.8,0.55,-1.95
James Bree,Southampton,2.3,-6.02,0.98,-2.74
Flynn Downes,Southampton,2.28,-4.4,0.29,-1.83
Jack Stephens,Southampton,2.12,-3.8,1.65,-0.03
Luke Thomas,Leicester City,2.0,-2.74,0.46,-0.28
Jannik Vestergaard,Leicester City,1.85,-4.82,1.5,-1.47
Nathan Wood-Gordon,Southampton,1.6,-5.76,1.3,-2.86
